id_produto,nome_produto,id_categoria,preco_base
1,Toalha de Banho X,3,1413.13
2,Camiseta Básica Premium,2,276.74
3,Mochila Max,2,320.43
4,Mochila Esportiva Premium,5,56.46
5,Perfume Premium,4,125.44
6,Jogo de Cama X,3,1398.53
7,Ventilador Max,3,682.63
8,Mochila Esportiva Premium,5,1328.23
9,Smartwatch Premium,1,3843.73
10,Vestido Casual Pro,2,250.14
11,Monitor X,1,3736.36
12,Cafeteira Plus,3,1012.98
13,Smartphone Premium,1,4914.23
14,Ventilador Plus,3,1455.96
15,Teclado Mecânico X,1,4494.53
16,Smartphone Max,1,1793.19
17,Teclado Mecânico Pro,1,304.39
18,Tênis Corrida Premium,5,239.23
19,Ventilador Premium,3,1434.9
20,Ventilador Essencial,3,1342.18
21,Mochila Esportiva Max,5,2285.9
22,Shorts X,2,239.82
23,Camiseta Básica Max,2,173.53
24,Smartphone Pro,1,4821.67
25,Faixa Elástica Premium,5,1941.27
26,Creme Corporal Pro,4,331.16
27,Bicicleta Premium,5,1651.54
28,Escova Secadora Max,4,34.55
29,Mochila Essencial,2,128.81
30,Tênis Esportivo X,2,101.72
31,Toalha de Banho Essencial,3,1060.38
32,Jogo de Cama Premium,3,44.06
33,Escova Secadora Pro,4,270.39
34,Shorts Max,2,32.98
35,Shorts Premium,2,56.97
36,Blusa Social Max,2,124.39
37,Condicionador Max,4,54.9
38,Tênis Corrida Plus,5,1756.79
39,Relógio X,2,318.27
40,Tênis Esportivo Max,2,152.48
41,Notebook Premium,1,3707.17
42,Carregador Portátil Premium,1,3244.3
43,Perfume Max,4,100.61
44,Garrafa Térmica Pro,5,1543.55
45,Camiseta Básica Plus,2,357.97
46,Notebook Pro,1,2011.5
47,Vestido Casual Essencial,2,373.18
48,Aspirador Pro,3,527.76
49,Garrafa Térmica Essencial,5,1367.16
50,Tapete Yoga Premium,5,533.7
51,Corda de Pular Max,5,523.27
52,Teclado Mecânico Plus,1,2141.87
53,Camiseta Básica X,2,82.34
54,Aspirador Essencial,3,312.35
55,Mesa Dobrável Pro,3,1339.3
56,Tapete Yoga Premium,5,2724.31
57,Notebook Max,1,4221.92
58,Boné Premium,2,96.95
59,Condicionador Premium,4,233.52
60,Tapete Yoga Premium,5,1073.9
61,Halter Essencial,5,1729.23
62,Perfume X,4,140.79
63,Tablet Premium,1,3882.19
64,Corda de Pular Plus,5,1618.2
65,Cadeira Escritório Essencial,3,159.07
66,Mochila Esportiva Essencial,5,2255.13
67,Condicionador X,4,247.94
68,Óleo Capilar Essencial,4,34.67
69,Monitor Plus,1,2435.45
70,Bola de Futebol Premium,5,1653.78
71,Creme Corporal Plus,4,187.81
72,Luvas Academia Plus,5,2416.02
73,Aspirador Max,3,1304.7
74,Caixa de Som Plus,1,907.16
75,Condicionador Premium,4,37.81
76,Bola de Futebol Essencial,5,901.27
77,Tênis Esportivo Plus,2,275.12
78,Camiseta Básica Max,2,62.81
